id,type,name,created_at,updated_at,deleted_at
1,category,Strategies,2020-07-16 10:57:33,2020-07-16 10:57:33,
2,category,"Who, What, Where",2020-07-16 10:57:33,2020-07-16 10:57:33,
3,category,Negatives,2020-07-16 10:57:33,2020-07-16 10:57:33,
4,category,Functions,2020-07-16 10:57:33,2020-07-16 10:57:33,
5,category,Contrary Meaning,2020-07-16 10:57:33,2020-07-16 10:57:33,
6,category,Idiomatic Language,2020-07-16 10:57:33,2020-07-16 10:57:33,
7,category,Sentences with One Clause,2020-07-16 10:57:33,2020-07-16 10:57:33,
8,category,Sentences with Multiple Clause,2020-07-16 10:57:33,2020-07-16 10:57:33,
9,category,More Sentences with Multiple Clause,2020-07-16 10:57:33,2020-07-16 10:57:33,
10,category,Sentences with Reduced Clauses,2020-07-16 10:57:33,2020-07-16 10:57:33,
11,category,Sentences with Inverted Subjects and Verbs,2020-07-16 10:57:33,2020-07-16 10:57:33,
12,category,Problems with Subject/Verb Agreement,2020-07-16 10:57:33,2020-07-16 10:57:33,
13,category,Problems with Parallel Structure,2020-07-16 10:57:33,2020-07-16 10:57:33,
14,category,Problems with Comparatives and Superlatives,2020-07-16 10:57:33,2020-07-16 10:57:33,
15,category,Problems with the Form of the Verb,2020-07-16 10:57:33,2020-07-16 10:57:33,
16,category,Problems with the Use of the Verb,2020-07-16 10:57:33,2020-07-16 10:57:33,
17,category,Problems with Passive Verbs,2020-07-16 10:57:33,2020-07-16 10:57:33,
18,category,Problems with Nouns,2020-07-16 10:57:33,2020-07-16 10:57:33,
19,category,Problems with Pronouns,2020-07-16 10:57:33,2020-07-16 10:57:33,
20,category,Problems with Adjectives and Adverbs,2020-07-16 10:57:33,2020-07-16 10:57:33,
21,category,More Problems with Adjectives,2020-07-16 10:57:33,2020-07-16 10:57:33,
22,category,Problems with Articles,2020-07-16 10:57:33,2020-07-16 10:57:33,
23,category,Problems with Prepositions,2020-07-16 10:57:33,2020-07-16 10:57:33,
24,category,Problems with Usage,2020-07-16 10:57:33,2020-07-16 10:57:33,
